AccountId,AccountName
200000000000001,21st Century Fox
200000000000002,24 Hour Fitness
200000000000003,2K Games
200000000000004,3Com Corp
200000000000005,3M
200000000000006,3M Company
200000000000007,4Licensing Corporation
200000000000008,77 Bank
200000000000009,A. O. Smith
200000000000010,A. Schulman
200000000000011,A.G. Edwards Inc.
200000000000012,A&W Restaurants
200000000000013,"a21, Inc."
200000000000014,A2A
200000000000015,Aareal Bank
200000000000016,"Aaron's, Inc."
200000000000017,Abalith
200000000000018,Abalium
200000000000019,Abandu
200000000000020,Abanti
200000000000021,Abata
200000000000022,ABB
200000000000023,Abbott Laboratories
200000000000024,AbbVie
200000000000025,Abengoa
200000000000026,Abercrombie & Fitch
200000000000027,Abercrombie & Fitch Co.
200000000000028,Aberdeen Asset Management
200000000000029,Abertis
200000000000030,ABM Industries
200000000000031,ABM Industries Incorporated
200000000000032,Aboitiz Equity Ventures
200000000000033,ABS Capital Partners
200000000000034,Abu Dhabi Commercial Bank
200000000000035,Abu Dhabi Islamic Bank
200000000000036,ABX Air
200000000000037,AC Lens
200000000000038,Academi
200000000000039,Accenture
200000000000040,"Access Systems Americas, Inc."
200000000000041,Acciona
200000000000042,ACCO Brands
200000000000043,Accor
200000000000044,Accuquote
200000000000045,Accuride Corporation
200000000000046,ACE
200000000000047,Ace Hardware
200000000000048,Ace Hardware Corporation
200000000000049,Acer
200000000000050,Acerible
200000000000051,Aceric
200000000000052,Acerism
200000000000053,Acerity
200000000000054,Acerore
200000000000055,Ackermans & van Haaren
200000000000056,Acme Brick
200000000000057,Acme Fresh Market
200000000000058,ACN Inc.
200000000000059,Acsis Inc.
200000000000060,ACT Manufacturing Inc.
200000000000061,Actavis
200000000000062,Actelion
200000000000063,Acterna Corp.
200000000000064,Activision
200000000000065,Activision Blizzard
200000000000066,Acuity Brands
200000000000067,Acuity Insurance
200000000000068,"Adams Resources & Energy, Inc."
200000000000069,Adani Enterprises
200000000000070,Adaptec
200000000000071,ADC Telecommunications
200000000000072,"ADC Telecommunications, Inc."
200000000000073,Adecco
200000000000074,Adelphia Communications Corporation
200000000000075,Adidas
200000000000076,"Administaff, Inc."
200000000000077,Admiral Group plc
200000000000078,Adobe Systems
200000000000079,Adobe Systems Incorporated
200000000000080,Adolph Coors Company
200000000000081,ADT Corp
200000000000082,ADTRAN
200000000000083,Advance Auto Parts
200000000000084,"Advance Auto Parts, Inc."
200000000000085,Advance Publications
200000000000086,Advanced Info Service
200000000000087,Advanced Micro Devices
200000000000088,"Advanced Micro Devices, Inc."
200000000000089,Advanced Semiconductor
200000000000090,"AdvancePCS, Inc."
200000000000091,"Advantica Restaurant Group, Inc."
200000000000092,Advent International
200000000000093,AECOM
200000000000094,Aegon
200000000000095,Aeon
200000000000096,Aerojet Rocketdyne
200000000000097,Aeroports de Paris
200000000000098,A_ropostale
200000000000099,AES
200000000000100,AES Corporation
200000000000101,Aetna
200000000000102,Aetna Inc.
200000000000103,Affiliated Computer Services
200000000000104,"Affiliated Computer Services, Inc."
200000000000105,Affiliated Managers Group
200000000000106,Aflac
200000000000107,AFLAC Incorporated
200000000000108,AGCO
200000000000109,AGCO Corporation
200000000000110,Ageas
200000000000111,Agifix
200000000000112,Agile Property Holdings
200000000000113,Agilent Technologies
200000000000114,"Agilent Technologies, Inc."
200000000000115,Agimbee
200000000000116,Agimia
200000000000117,Agindo
200000000000118,Aginte
200000000000119,AGL Energy
200000000000120,AGL Resources
200000000000121,Agricultural Bank of China
200000000000122,Agriprocessors
200000000000123,Agrium
200000000000124,Agway Inc.
200000000000125,Ahli United Bank
200000000000126,AIA Group
200000000000127,Aichi Bank
200000000000128,Aifix
200000000000129,Ailane
200000000000130,Ainyx
200000000000131,Air Canada
200000000000132,Air France-KLM
200000000000133,Air Liquide
200000000000134,Air Products & Chemicals
200000000000135,"Air Products and Chemicals, Inc."
200000000000136,Air Tractor
200000000000137,Air Transport International (ATI)
200000000000138,Air Wisconsin
200000000000139,"Airborne, Inc."
200000000000140,Aire
200000000000141,Airgas
200000000000142,"Airgas, Inc."
200000000000143,Airhitch
200000000000144,Airports of Thailand
200000000000145,AirTran Holdings
200000000000146,Aisin Seiki
200000000000147,Aita
200000000000148,Ajinomoto
200000000000149,AK Steel Holding
200000000000150,AK Steel Holding Corporation
200000000000151,Akamai Technologies
200000000000152,Akbank
200000000000153,Akzo Nobel
200000000000154,Al Rajhi Bank
200000000000155,Alaska Air Group
200000000000156,"Alaska Air Group, Inc."
200000000000157,Albemarle Corporation
200000000000158,Alberto-Culver Company
200000000000159,"Albertson's, Inc."
200000000000160,Albertsons LLC
200000000000161,Albicious
200000000000162,Albive
200000000000163,Albor
200000000000164,Albore
200000000000165,Albous
200000000000166,Alcatel-Lucent
200000000000167,Alcoa
200000000000168,Alcoa Inc.
200000000000169,Aldar Properties
200000000000170,Aleris
200000000000171,Alexander & Baldwin
200000000000172,Alexion Pharmaceuticals
200000000000173,ALFA
200000000000174,Alfa Laval
200000000000175,Alfresa Holdings
200000000000176,Alia
200000000000177,Alienware
200000000000178,Alific
200000000000179,Alijo
200000000000180,Alilia
200000000000181,Alinma Bank
200000000000182,Alitz
200000000000183,Alivee
200000000000184,All Nippon Airways
200000000000185,Allahabad Bank
200000000000186,Alleghany
200000000000187,Alleghany Corporation
200000000000188,"Allegheny Energy, Inc."
200000000000189,Allegheny Technologies
200000000000190,Allegheny Technologies Incorporated
200000000000191,Allegis Group
200000000000192,Allen Organ Company
200000000000193,Allergan
200000000000194,"Allergan, Inc."
200000000000195,"ALLETE, Inc."
200000000000196,Alliance Data Systems
200000000000197,Alliance Global Group
200000000000198,Alliance Rubber Company
200000000000199,Alliant Energy
200000000000200,Alliant Energy Corporation
200000000000201,Alliant Techsystems
200000000000202,Allianz
200000000000203,Allied Insurance
200000000000204,Allied Irish Banks
200000000000205,"Allied Waste Industries, Inc."
200000000000206,Allison Transmission
200000000000207,Allmerica Financial Corporation
200000000000208,Allstate
200000000000209,ALLTEL Corporation
200000000000210,Ally Financial
200000000000211,Almarai
200000000000212,Aloha Air Cargo
200000000000213,Alpha Bank
200000000000214,Alphabet Inc.
200000000000215,Alpiq Holding
200000000000216,Alrosa
200000000000217,Alstom
200000000000218,Altec Lansing
200000000000219,Altera
200000000000220,Altera Corporation
200000000000221,Alton Steel
200000000000222,Altra Industrial Motion
200000000000223,Altria (formerly Philip Morris Companies)
200000000000224,Altria Group
200000000000225,Aluminum Corp of China
200000000000226,Amí©rica Mí_vil
200000000000227,Amadeus IT Holdings
200000000000228,Amazon.com
200000000000229,"Amazon.com, Inc."
200000000000230,Amba
200000000000231,Ambac Financial Group
200000000000232,AmBank Group
200000000000233,Ambicee
200000000000234,Ambicero
200000000000235,Ambidoo
200000000000236,Ambindu
200000000000237,Ambita
200000000000238,AMC Entertainment
200000000000239,AMC Entertainment Inc.
200000000000240,Amcor
200000000000241,Amdocs
200000000000242,Amerada Hess Corporation
200000000000243,AMERCO
200000000000244,Ameren
200000000000245,Ameren Corporation
200000000000246,America West Holdings Corporation
200000000000247,American Airlines
200000000000248,American Airlines Group
200000000000249,American Apparel
200000000000250,American Axle
200000000000251,"American Axle & Manufacturing Holdings, Inc."
200000000000252,American Broadcasting Company
200000000000253,American Capital Agency
200000000000254,American Eagle Outfitters
200000000000255,"American Eagle Outfitters, Inc."
200000000000256,American Electric
200000000000257,American Electric Power
200000000000258,"American Electric Power Company, Inc."
200000000000259,American Equity Investment
200000000000260,American Express
200000000000261,American Express Company
200000000000262,American Family Insurance
200000000000263,American Financial Group
200000000000264,"American Financial Group, Inc."
200000000000265,American Greetings
200000000000266,American Greetings Corporation
200000000000267,American Home Mortgage
200000000000268,American International Group
200000000000269,"American International Group, Inc."
200000000000270,American Licorice Company
200000000000271,American Natl Ins
200000000000272,American Power Conversion Corporation
200000000000273,American Reprographics Company
200000000000274,American Standard Companies Inc.
200000000000275,"American Sugar Refining, Inc."
200000000000276,American Tower
200000000000277,American Water Works
200000000000278,"American Water Works Company, Inc."
200000000000279,Amerigroup
200000000000280,Ameriprise Financial
200000000000281,AmerisourceBergen
200000000000282,AmerisourceBergen Corporation
200000000000283,"Ames Department Stores, Inc."
200000000000284,Amescent
200000000000285,Ametek
200000000000286,Amgen
200000000000287,Amgen Inc.
200000000000288,Amicious
200000000000289,Amkor Technology
200000000000290,"Amkor Technology, Inc."
200000000000291,Amor
200000000000292,Amore
200000000000293,Amosis
200000000000294,AMP
200000000000295,Ampex Corporation
200000000000296,Amphenol
200000000000297,Amphicero
200000000000298,Amphido
200000000000299,Amphimm
200000000000300,Amphinyx
200000000000301,Amphiyo
200000000000302,AMR Corporation
200000000000303,"AMSOIL, Inc."
200000000000304,AmSouth Bancorp.
200000000000305,Amtrak (National Railroad Passenger Corporation)
200000000000306,"Amtran, Inc."
200000000000307,Amway
200000000000308,Amy's Kitchen
200000000000309,Anadarko Petroleum
200000000000310,Anadarko Petroleum Corporation
200000000000311,Anadolu Efes
200000000000312,Analog Devices
200000000000313,"Analog Devices, Inc."
200000000000314,AnaSpec
200000000000315,"Ancestry.com, Inc."
200000000000316,Anchor Bay Entertainment
200000000000317,Anchor Brewing Company
200000000000318,AND1
200000000000319,Andersen Corporation
200000000000320,Andhra Bank
200000000000321,Andritz
200000000000322,Andronico's
200000000000323,Angang Steel
200000000000324,Anglo American
200000000000325,"Anheuser-Busch Companies, Inc."
200000000000326,Anheuser-Busch InBev
200000000000327,Anhui Conch Cement
200000000000328,Animer
200000000000329,Animile
200000000000330,Animity
200000000000331,Animose
200000000000332,Anism
200000000000333,Anist
200000000000334,Anive
200000000000335,Anixter
200000000000336,Anixter International Inc.
200000000000337,Ann Taylor
200000000000338,Annabelle Candy Company
200000000000339,Annaly Capital Management
200000000000340,AnnTaylor Inc.
200000000000341,Ansys
200000000000342,AntarChile
200000000000343,Antec
200000000000344,Antejo
200000000000345,Antepe
200000000000346,Antero Resources
200000000000347,Anteva
200000000000348,Antevee
200000000000349,"Anthem, Inc."
200000000000350,Antido
200000000000351,Antimm
200000000000352,Antinte
200000000000353,Antitude
200000000000354,Antizio
200000000000355,Antofagasta
200000000000356,ANZ
200000000000357,AOL
200000000000358,AOL Time Warner Inc.
200000000000359,Aon
200000000000360,Aon Corporation
200000000000361,Aon plc
200000000000362,Aozora Bank
200000000000363,Apache
200000000000364,Apache Corporation
200000000000365,Apache Software Foundation
200000000000366,Apartment Investment and Management Company
200000000000367,Apocy
200000000000368,Apodeo
200000000000369,Apollo Global Management
200000000000370,Apollo Group
200000000000371,Aponti
200000000000372,Apore
200000000000373,Apotz
200000000000374,Apple
200000000000375,"Apple Computer, Inc."
200000000000376,Apple Inc.
200000000000377,Applebee's
200000000000378,Applera Corporation
200000000000379,Applico
200000000000380,Applied Biosystems
200000000000381,Applied Industrial Technologies
200000000000382,"Applied Industrial Technologies, Inc."
200000000000383,Applied Materials
200000000000384,"Applied Materials, Inc."
200000000000385,Apptio
200000000000386,Aqucero
200000000000387,Aqufix
200000000000388,"Aquila, Inc."
200000000000389,Aquxo
200000000000390,Arab Bank
200000000000391,Arab Banking
200000000000392,Arab National Bank
200000000000393,Aramark
200000000000394,ARAMARK Corporation
200000000000395,Arbitron
200000000000396,Arc Machines
200000000000397,Arca Continental
200000000000398,ArcelorMittal
200000000000399,Arch Capital Group
200000000000400,Arch Coal
200000000000401,"Arch Coal, Inc."
200000000000402,Archer Daniels Midland
200000000000403,Archer Daniels Midland Company
200000000000404,Archill
200000000000405,Archise
200000000000406,Archor
200000000000407,Archose
200000000000408,Arctic Cat
200000000000409,Areva
200000000000410,Argonide
200000000000411,Ariba
200000000000412,Arizona Beverage Company
200000000000413,Arizona Stock Exchange
200000000000414,Arkansas Best Corporation
200000000000415,Arkeia Software
200000000000416,Arkema
200000000000417,ARM Holdings
200000000000418,"Armstrong Holdings, Inc."
200000000000419,Armstrong World Industries
200000000000420,Arrow Electronics
200000000000421,"Arrow Electronics, Inc."
200000000000422,Arryx
200000000000423,"ArvinMeritor, Inc."
200000000000424,Aryzta
200000000000425,Asahi Glass
200000000000426,Asahi Group Holdings
200000000000427,Asahi Kasei
200000000000428,ASARCO (American Smelting and Refining Company)
200000000000429,Asbury Automotive Group
200000000000430,Ashikaga Holdings
200000000000431,Ashland
200000000000432,Ashland Inc.
200000000000433,Ashley Furniture Industries
200000000000434,AskMeNow
200000000000435,ASM International N.V.
200000000000436,ASML Holding
200000000000437,Aspen Pharmacare Holdings
200000000000438,Aspen Skiing Company
200000000000439,Aspyr Media
200000000000440,Assa Abloy
200000000000441,Associated British Foods
200000000000442,Associated Electrics
200000000000443,Associated Wholesale Grocers
200000000000444,Assurant
200000000000445,Assured Guaranty
200000000000446,Astellas Pharma
200000000000447,Astoria Financial Corporation
200000000000448,AstraZeneca
200000000000449,Astromba
200000000000450,Astromia
200000000000451,Astronix
200000000000452,Astronti
200000000000453,Astroyo
200000000000454,Asustek Computer
200000000000455,"AT Conference, Inc."
200000000000456,AT&T
200000000000457,AT&T Corp.
200000000000458,AT&T Inc.
200000000000459,AT&T Mobility
200000000000460,Ata
200000000000461,Atari
200000000000462,Atco
200000000000463,Atlantia
200000000000464,Atlas Air
200000000000465,Atlas Copco
200000000000466,Atlas Van Lines
200000000000467,Atmel Corporation
200000000000468,Atmos Energy
200000000000469,Atmos Energy Corporation
200000000000470,ATOS
200000000000471,Atri
200000000000472,Attijariwafa Bank
200000000000473,Au Bon Pain
200000000000474,AU Optronics
200000000000475,Audescent
200000000000476,Audiovox
200000000000477,Audiovox Corporation
200000000000478,Audise
200000000000479,Audity
200000000000480,Audose
200000000000481,Aurend
200000000000482,Aurent
200000000000483,Aurer
200000000000484,Aurescent
200000000000485,Auricious
200000000000486,Aurizon Holdings
200000000000487,Aurubis
200000000000488,Authentic Brands Group
200000000000489,Auto-Owners Insurance
200000000000490,Autodel
200000000000491,Autodesk
200000000000492,Autoliv
200000000000493,"Autoliv, Inc."
200000000000494,Automatic Data
200000000000495,Automatic Data Processing
200000000000496,"Automatic Data Processing, Inc."
200000000000497,Autombee
200000000000498,Automia
200000000000499,AutoNation
200000000000500,"AutoNation, Inc."
200000000000501,Autonu
200000000000502,Autotri
200000000000503,AutoZone
200000000000504,"AutoZone, Inc."
200000000000505,Avago Technologies
200000000000506,Avalonbay Communities
200000000000507,Avanix
200000000000508,Avanti
200000000000509,Avatri
200000000000510,Avava
200000000000511,Avaya
200000000000512,Avaya Inc.
200000000000513,Avazzy
200000000000514,Avee
200000000000515,Avery Dennison
200000000000516,Avery Dennison Corporation
200000000000517,Avinoodle
200000000000518,Avire
200000000000519,Avis Budget Group
200000000000520,Avista Corporation
200000000000521,Avita
200000000000522,Aviva
200000000000523,Aviyo
200000000000524,Avizu
200000000000525,Avnet
200000000000526,"Avnet, Inc."
200000000000527,Avon Products
200000000000528,"Avon Products, Inc."
200000000000529,AVST
200000000000530,Awa Bank
200000000000531,AXA
200000000000532,AXA Group
200000000000533,Axiata Group
200000000000534,Axis Bank
200000000000535,Axis Capital Holdings
200000000000536,Ayala
200000000000537,B/E Aerospace
200000000000538,B&H
200000000000539,Bí¢loise Group
200000000000540,Babcock & Wilcox
200000000000541,Babcock International Group
200000000000542,BAE Systems
200000000000543,Baidu
200000000000544,Bain & Company
200000000000545,Bain Capital
200000000000546,Bajaj Auto
200000000000547,Baker Hughes
200000000000548,Baker Hughes Incorporated
200000000000549,Bakers Square Restaurants
200000000000550,Baldor Electric Company
200000000000551,Balfour Beatty
200000000000552,Ball
200000000000553,Ball Corporation
200000000000554,Ballistic Recovery Systems
200000000000555,"Bally Technologies, Inc."
200000000000556,Banca CARIGE
200000000000557,Banca MPS
200000000000558,Banca Popolare dell'Emilia
200000000000559,Banca Popolare di Milano
200000000000560,Banca Popolare di Sondrio
200000000000561,Banco BPI
200000000000562,Banco Bradesco
200000000000563,Banco Comercial Portugues
200000000000564,Banco Davivienda
200000000000565,Banco de Sabadell
200000000000566,Banco do Brasil
200000000000567,Banco Occidental
200000000000568,Banco Popolare
200000000000569,Banco Popular Espanol
200000000000570,Banco Santander
200000000000571,Bancolombia
200000000000572,Bangkok Bank
200000000000573,Bank Audi
200000000000574,Bank Central Asia
200000000000575,Bank Danamon Indonesia
200000000000576,Bank Hapoalim
200000000000577,Bank Leumi
200000000000578,Bank Mandiri
200000000000579,Bank Muscat
200000000000580,Bank Negara Indonesia
200000000000581,Bank of America
200000000000582,Bank of America Corporation
200000000000583,Bank of Ayudhya
200000000000584,Bank of Baroda
200000000000585,Bank of Beijing
200000000000586,Bank of China
200000000000587,Bank of Chongqing
200000000000588,Bank of Communications
200000000000589,Bank of East Asia
200000000000590,Bank of Greece
200000000000591,Bank of India
200000000000592,Bank of Ireland
200000000000593,Bank of Iwate
200000000000594,Bank of Kyoto
200000000000595,Bank of Montreal
200000000000596,Bank of Nagoya
200000000000597,Bank of Nanjing
200000000000598,Bank of New York Mellon
200000000000599,Bank of Ningbo
200000000000600,Bank of Nova Scotia
200000000000601,Bank of Queensland
200000000000602,Bank of Yokohama
200000000000603,Bank One Corporation
200000000000604,Bank Rakyat Indonesia
200000000000605,Bankia
200000000000606,Bankinter
200000000000607,"Banknorth Group, Inc."
200000000000608,Banque Centrale Populaire
200000000000609,Banque nationale de Belgique
200000000000610,Banque Saudi Fransi
200000000000611,Banrisul
200000000000612,Banta Corporation
200000000000613,Baoshan Iron & Steel
200000000000614,Barclays
200000000000615,Barnes & Noble
200000000000616,"Barnes & Noble, Inc."
200000000000617,Barrett Firearms Manufacturing
200000000000618,Barrick Gold
200000000000619,BASF
200000000000620,Basler Kantonalbank
200000000000621,Bass Pro Shops
200000000000622,Bath & Body Works
200000000000623,Bath Iron Works
200000000000624,Bausch & Lomb Incorporated
200000000000625,Baxter International
200000000000626,Baxter International Inc.
200000000000627,Bayer
200000000000628,BayWa
200000000000629,BB&T
200000000000630,BB&T Corporation
200000000000631,BBMG
200000000000632,BBVA-Banco Bilbao Vizcaya
200000000000633,BCE
200000000000634,BCI-Banco Credito
200000000000635,BCV Group
200000000000636,Bealls
200000000000637,Beam
200000000000638,Beam Inc.
200000000000639,BearingPoint
200000000000640,Beazer Homes USA
200000000000641,"Beazer Homes USA, Inc."
200000000000642,Bebo
200000000000643,Bechtel
200000000000644,Beckman Coulter
200000000000645,"Beckman Coulter, Inc."
200000000000646,Becton Dickinson
200000000000647,"Becton, Dickinson"
200000000000648,"Becton, Dickinson and Company"
200000000000649,Bed Bath & Beyond
200000000000650,Bed Bath & Beyond Inc.
200000000000651,Bedeo
200000000000652,Bedoo
200000000000653,Beechcraft
200000000000654,"Beer Nuts, Inc."
200000000000655,Beiersdorf
200000000000656,Beijing Enterprises
200000000000657,BEKB-BCBE
200000000000658,Belgacom
200000000000659,Belium
200000000000660,Belk
200000000000661,"Belk, Inc."
200000000000662,Belkin
200000000000663,Bell Helicopter
200000000000664,Bell Microproducts Inc.
200000000000665,Belle International Holdings
200000000000666,Bellent
200000000000667,Bellescent
200000000000668,Bellicious
200000000000669,Bellor
